--------------------------------------------------
	TERMINOS 	por Juan Cardona
--------------------------------------------------
TERMINO - FRECUENCIA - DF:
agua - 75 - 10
sodio - 68 - 7
forma - 49 - 10
compuestos - 46 - 10
carbono - 45 - 7
h2o - 45 - 6
hidrogeno - 44 - 10
co2 - 44 - 5
acido - 41 - 7
cloruro - 38 - 6
carbonato - 37 - 6
oxigeno - 36 - 6
enlace - 30 - 3
gas - 29 - 10
potasio - 29 - 5
gases - 28 - 4
temperatura - 27 - 7
electrones - 27 - 4
reaccion - 25 - 8
silicio - 25 - 3
magnesio - 25 - 3
sodico - 24 - 4
iones - 24 - 4
fusion - 23 - 8
obtiene - 23 - 5
oxidos - 23 - 4
elementos - 22 - 9
oxido - 22 - 5
atomos - 22 - 5
vidrio - 22 - 2
aire - 21 - 6
h2o2 - 21 - 2
estado - 20 - 8
propiedades - 20 - 6
metales - 20 - 6
energia - 20 - 4
enlaces - 20 - 3
atomo - 20 - 2
nacl - 19 - 6
solucion - 19 - 3
reacciones - 18 - 6
elemento - 18 - 6
hidroxido - 18 - 5
naoh - 18 - 4
utiliza - 17 - 7
proceso - 17 - 6
bicarbonato - 17 - 2
electrolisis - 16 - 5
covalentes - 16 - 4
cloro - 15 - 7
metodo - 15 - 5
acidos - 15 - 4
moleculas - 15 - 4
na2co3 - 15 - 3
catodo - 15 - 3
hierro - 14 - 6
dioxido - 14 - 5
presion - 14 - 4
sales - 14 - 4
disolucion - 14 - 3
sio2 - 14 - 3
fuerzas - 14 - 2
soluble - 13 - 6
numero - 13 - 6
liquido - 13 - 6
solido - 13 - 6
metal - 13 - 5
punto - 13 - 5
calentando - 13 - 5
consecuencia - 13 - 4
2h2o - 13 - 4
ozono - 13 - 2
d2o - 13 - 1
formar - 12 - 7
compuesto - 12 - 6
cantidad - 12 - 6
mezcla - 12 - 6
obtencion - 12 - 6
atmosfera - 12 - 5
sustancias - 12 - 5
materia - 12 - 4
anodo - 12 - 3
amoniaco - 12 - 3
carbonatos - 12 - 2
red - 12 - 1
presenta - 11 - 6
sustancia - 11 - 6
gaseoso - 11 - 5
obtener - 11 - 5
2oh - 11 - 3
ionicos - 11 - 3
cuarzo - 11 - 1
naturaleza - 10 - 7
produce - 10 - 7
ebullicion - 10 - 7
queda - 10 - 6
formacion - 10 - 6
natural - 10 - 6
nitrogeno - 10 - 5
generalmente - 10 - 5
sulfato - 10 - 5
reacciona - 10 - 5
forman - 10 - 5
carbon - 10 - 4
fisicas - 10 - 4
molecular - 10 - 4
fundido - 10 - 3
valencia - 10 - 3
litio - 10 - 3
configuracion - 10 - 3
ionico - 10 - 2
cristalina - 10 - 2
sal - 10 - 1
isotopos - 10 - 1
nombre - 9 - 5
tipo - 9 - 5
cal - 9 - 5
temperaturas - 9 - 5
caco3 - 9 - 4
molecula - 9 - 4
