--------------------------------------------------
	TERMINOS 	por Juan Cardona
--------------------------------------------------
TERMINO - FRECUENCIA - DF:
fernando - 135 - 1
caso - 135 - 1
unos - 133 - 1
tus - 133 - 1
ese - 133 - 1
finalmente - 133 - 1
voces - 132 - 1
mayor - 132 - 1
comenzo - 132 - 1
mala - 132 - 1
poner - 131 - 1
fuerza - 129 - 1
pena - 129 - 1
salir - 128 - 1
aventura - 128 - 1
contento - 127 - 1
algo - 127 - 1
oido - 127 - 1
contra - 127 - 1
ellas - 127 - 1
memoria - 127 - 1
grandes - 126 - 1
amor - 125 - 1
palabras - 125 - 1
mitad - 125 - 1
causa - 124 - 1
libro - 124 - 1
delante - 124 - 1
fama - 124 - 1
posible - 123 - 1
hermosura - 123 - 1
tuvo - 123 - 1
cierto - 122 - 1
algunos - 121 - 1
volvio - 121 - 1
rucio - 119 - 1
sabe - 119 - 1
ventero - 118 - 1
demas - 117 - 1
pasar - 116 - 1
seria - 116 - 1
insula - 116 - 1
estan - 116 - 1
casi - 115 - 1
haya - 114 - 1
venir - 114 - 1
unas - 114 - 1
figura - 113 - 1
gobierno - 113 - 1
nuevo - 113 - 1
debia - 112 - 1
ello - 112 - 1
espada - 112 - 1
dejar - 112 - 1
loco - 111 - 1
habeis - 111 - 1
nosotros - 111 - 1
esa - 111 - 1
dorotea - 111 - 1
siendo - 110 - 1
tantas - 110 - 1
bueno - 109 - 1
junto - 109 - 1
bachiller - 109 - 1
hora - 108 - 1
volver - 107 - 1
aquello - 107 - 1
da - 107 - 1
triste - 107 - 1
muerto - 107 - 1
hermano - 106 - 1
daba - 106 - 1
boca - 106 - 1
intencion - 106 - 1
tomar - 106 - 1
poder - 105 - 1
buscar - 105 - 1
ocasion - 105 - 1
apenas - 104 - 1
della - 104 - 1
pueblo - 104 - 1
pedro - 103 - 1
hombres - 103 - 1
lengua - 102 - 1
pensamientos - 102 - 1
partes - 102 - 1
ciudad - 102 - 1
hallo - 101 - 1
buenos - 101 - 1
estoy - 101 - 1
cardenio - 101 - 1
aquellas - 101 - 1
medio - 100 - 1
estado - 100 - 1
llevar - 100 - 1
ninguno - 100 - 1
parecio - 100 - 1
hijo - 100 - 1
pudo - 99 - 1
lagrimas - 99 - 1
comer - 99 - 1
tantos - 99 - 1
luscinda - 99 - 1
pobre - 98 - 1
dellos - 98 - 1
puedo - 97 - 1
creo - 97 - 1
hablar - 97 - 1
pienso - 97 - 1
queria - 97 - 1
cuantos - 97 - 1
carta - 96 - 1
dejo - 96 - 1
vista - 96 - 1
parecia - 95 - 1
orden - 95 - 1
buenas - 94 - 1
sabia - 94 - 1
oro - 94 - 1
traia - 94 - 1
famoso - 93 - 1
viene - 93 - 1
hubo - 93 - 1
primera - 93 - 1
diablo - 93 - 1
aposento - 93 - 1
estando - 92 - 1
fe - 92 - 1
