--------------------------------------------------
	RANKING 	por Juan Cardona
--------------------------------------------------
LOS 10 TÉRMINOS MÁS FRECUENTES

	TERMINO - CF
	universidad - 2429
	var - 2316
	nacional - 1591
	facultad - 1357
	function - 1330
	ciencias - 1101
	color - 1079
	2012 - 1053
	educacion - 949
	investigacion - 940

LOS 10 TÉRMINOS MENOS FRECUENTES

	TERMINO - CF
	$100 - 1
	$11 - 1
	$1200 - 1
	$1800 - 1
	$2200 - 1
	$225 - 1
	$250 - 1
	$3 - 1
	$4 - 1
	$4,60 - 1
