query	rank	doc
1	1	32
1	2	36
1	3	5
1	4	15
1	5	25
1	6	29
2	1	1
2	2	4
2	3	37
2	4	6
2	5	9
2	6	12
2	7	14
2	8	17
2	9	19
2	10	21
2	11	23
2	12	36
2	13	38
2	14	29
3	1	33
3	2	2
3	3	35
3	4	36
3	5	8
3	6	11
3	7	12
3	8	13
3	9	34
3	10	3
3	11	20
3	12	22
3	13	24
3	14	27
3	15	28
4	1	35
4	2	7
4	3	13
4	4	27
4	5	30
4	6	31
5	1	8
5	2	32
5	3	18
5	4	10
